-0.15,0.015,0.05,0.242877,0.085976,0.083276
-0.15,0.015,0.06,0.255613,0.091239,0.072107
-0.15,0.015,0.07,0.267094,0.095652,0.059068
-0.15,0.015,0.08,0.276903,0.099019,0.044289
-0.15,0.015,0.09,0.284629,0.101156,0.028007
-0.15,0.015,0.1,0.289897,0.101914,0.010563
-0.15,0.015,0.11,0.292405,0.101187,-0.007606
-0.15,0.015,0.12,0.291953,0.098931,-0.025983
-0.15,0.015,0.13,0.288476,0.095176,-0.044009
-0.15,0.015,0.14,0.282048,0.090025,-0.061126
-0.15,0.045,0.05,0.302222,0.048501,0.097837
-0.15,0.045,0.06,0.31945,0.051754,0.084255
-0.15,0.045,0.07,0.334976,0.054052,0.068237
-0.15,0.045,0.08,0.34818,0.055242,0.049953
-0.15,0.045,0.09,0.358442,0.055202,0.029722
-0.15,0.045,0.1,0.36519,0.053851,0.008012
-0.15,0.045,0.11,0.36796,0.05116,-0.014561
-0.15,0.045,0.12,0.366457,0.047168,-0.037272
-0.15,0.045,0.13,0.3606,0.041983,-0.059331
-0.15,0.045,0.14,0.350544,0.035784,-0.079958
-0.15,0.075,0.05,0.352463,-0.017404,0.102726
-0.15,0.075,0.06,0.372346,-0.018749,0.086215
-0.15,0.075,0.07,0.389778,-0.021208,0.066958
-0.15,0.075,0.08,0.404009,-0.024775,0.045261
-0.15,0.075,0.09,0.414312,-0.029368,0.021596
-0.15,0.075,0.1,0.420042,-0.034834,-0.003399
-0.15,0.075,0.11,0.420715,-0.040959,-0.028933
-0.15,0.075,0.12,0.416075,-0.047482,-0.054114
-0.15,0.075,0.13,0.40615,-0.054119,-0.078009
-0.15,0.075,0.14,0.391274,-0.060583,-0.099733
-0.15,0.105,0.05,0.378189,-0.109176,0.09174
-0.15,0.105,0.06,0.396476,-0.116299,0.071669
-0.15,0.105,0.07,0.41095,-0.124583,0.049029
-0.15,0.105,0.08,0.420921,-0.133811,0.024459
-0.15,0.105,0.09,0.425849,-0.143619,-0.001254
-0.15,0.105,0.1,0.425393,-0.153529,-0.027226
-0.15,0.105,0.11,0.419452,-0.162991,-0.052523
-0.15,0.105,0.12,0.40819,-0.171448,-0.076235
-0.15,0.105,0.13,0.392038,-0.1784,-0.097537
-0.15,0.105,0.14,0.371673,-0.183462,-0.115755
-0.15,0.135,0.05,0.365647,-0.220056,0.065136
-0.15,0.135,0.06,0.378267,-0.231223,0.042054
-0.15,0.135,0.07,0.385242,-0.242872,0.01702
-0.15,0.135,0.08,0.386106,-0.254668,-0.00883
-0.15,0.135,0.09,0.380797,-0.266119,-0.034265
-0.15,0.135,0.1,0.369659,-0.276615,-0.058099
-0.15,0.135,0.11,0.353403,-0.285489,-0.079315
-0.15,0.135,0.12,0.333009,-0.292107,-0.097157
-0.15,0.135,0.13,0.30961,-0.295952,-0.111188
-0.15,0.135,0.14,0.284366,-0.296693,-0.121281
-0.15,0.165,0.05,0.295317,-0.343369,0.028634
-0.15,0.165,0.06,0.300843,-0.356004,0.006359
-0.15,0.165,0.07,0.299703,-0.36713,-0.017013
-0.15,0.165,0.08,0.291676,-0.376409,-0.040016
-0.15,0.165,0.09,0.277152,-0.383481,-0.061149
-0.15,0.165,0.1,0.257114,-0.387997,-0.07909
-0.15,0.165,0.11,0.233004,-0.389648,-0.092881
-0.15,0.165,0.12,0.206519,-0.388211,-0.102041
-0.15,0.165,0.13,0.179367,-0.383589,-0.106592
-0.15,0.165,0.14,0.153055,-0.375832,-0.106993
-0.15,0.195,0.05,0.139643,-0.452407,-0.014003
-0.15,0.195,0.06,0.137343,-0.465498,-0.028238
-0.15,0.195,0.07,0.130025,-0.474353,-0.042406
-0.15,0.195,0.08,0.11773,-0.478614,-0.05532
-0.15,0.195,0.09,0.101039,-0.478157,-0.065824
-0.15,0.195,0.1,0.081034,-0.473102,-0.072974
-0.15,0.195,0.11,0.059162,-0.463786,-0.076204
-0.15,0.195,0.12,0.037022,-0.450723,-0.075408
-0.15,0.195,0.13,0.016132,-0.434543,-0.070942
-0.15,0.195,0.14,-0.002271,-0.415923,-0.063529
-0.15,0.225,0.05,-0.093265,-0.484235,-0.059443
-0.15,0.225,0.06,-0.105013,-0.496189,-0.059031
-0.15,0.225,0.07,-0.117232,-0.502441,-0.057007
-0.15,0.225,0.08,-0.129478,-0.502635,-0.053114
-0.15,0.225,0.09,-0.141187,-0.496802,-0.047205
-0.15,0.225,0.1,-0.151721,-0.48536,-0.039291
